name	is_mandatory	description	data_type
samples	Yes	List of sample definitions included in the analysis	string
samples[].sample_id	Yes	Unique identifier for the sample; used to link files and results	string
samples[].kinship	No	Familial relationship of the sample (e.g. proband, mother, brother, or unknown)	string
samples[].status	No	Disease status of the individual (affected, unaffected, or unknown)	string
samples[].sex	No	Biological sex of the sample (male or female or unknown)	string
samples[].code	No	Integer code representing the sample, typically used in pedigree-based analyses	string
samples[].bam	No	Path to the aligned, sorted, and haplotagged BAM file for the sample	string
samples[].coverage	No	Path to the per-base or per-region coverage file (e.g. mosdepth output)	string
paths	Yes	Collection of global file paths used across the analysis	string
paths.snvs_vcf	No	Phased and annotated SNV/indel VCF file for the primary sample set	string
paths.snvs_tsv	No	Tabular representation of SNVs derived from the VCF	string
paths.snvs_vcf_cohort	No	Cohort-level phased and annotated SNV/indel VCF file	string
paths.svs_vcf	No	Phased and annotated structural variant (SV) VCF file	string
paths.svs_tsv	No	Tabular representation of structural variants	string
paths.somalier_html	No	HTML report generated by Somalier for relatedness and sex checks	string
paths.coverage_vaf_html	No	HTML coverage summary and variant allele frequency (VAF) report	string
paths.work_dir	No	Path to working dir (/home/user)	string
dependencies	No	(Optional) External annotation or reference files required for extended analyses	string
dependencies.panel_app	No	PanelApp gene panel database file	string
dependencies.vep_consequences	No	VEP consequence annotation reference table	string
dependencies.phenotype_data	No	Mapping file linking phenotypes to associated genes	string
